semantic,metric,direction,boundary,n,mean,q25,q75,mean_clipscore_drop
object,lpips,prefix,0,50,0.0,0.0,0.0,0.0
object,lpips,prefix,1,50,0.12376871925778687,0.0424780547618866,0.20587100461125374,-0.006255276203155517
object,lpips,prefix,2,50,0.1472109402762726,0.06257107760757208,0.21000881865620613,-0.0058340322971344
object,lpips,prefix,3,50,0.15057133102789522,0.058925965800881386,0.21782109513878822,-0.0031257009506225585
object,lpips,prefix,4,50,0.13042973831295968,0.051796263083815575,0.20643168315291405,-0.004202418327331543
object,lpips,prefix,5,50,0.13233669873792678,0.04562427755445242,0.18861720338463783,-0.005042928457260132
object,lpips,prefix,6,50,0.14140080146491527,0.07464686594903469,0.19855867698788643,-0.011563981771469117
object,lpips,prefix,7,50,0.1377925472514471,0.06527150981128216,0.1998857632279396,-0.008265517950057984
object,lpips,prefix,8,50,0.13728442634339444,0.05582941044121981,0.19843925908207893,-0.0074573540687561035
object,lpips,prefix,9,50,0.1379459822154604,0.05698980391025543,0.19814346358180046,-0.008637529611587525
object,lpips,prefix,10,50,0.1378442035894841,0.0575814638286829,0.19881631806492805,-0.005596307516098023
object,lpips,suffix,0,50,0.1378442035894841,0.0575814638286829,0.19881631806492805,-0.005596307516098023
object,lpips,suffix,1,50,0.1514617813937366,0.059565573930740356,0.20840270444750786,-0.0036959362030029295
object,lpips,suffix,2,50,0.14076052104705014,0.07544549368321896,0.2084484100341797,0.0008034348487854004
object,lpips,suffix,3,50,0.11729544898029416,0.061313968151807785,0.16689004376530647,0.0008334517478942871
object,lpips,suffix,4,50,0.11889073201455176,0.05651606898754835,0.16324354708194733,-0.005044628381729126
object,lpips,suffix,5,50,0.09557385822758079,0.04413739591836929,0.14256881922483444,0.0006541383266448975
object,lpips,suffix,6,50,0.07961258308496326,0.04533707816153765,0.11530542559921741,-5.148887634277344e-05
object,lpips,suffix,7,50,0.04726281481795013,0.020380154717713594,0.06819582916796207,0.0003389763832092285
object,lpips,suffix,8,50,0.022482993872836234,0.013263383181765676,0.02960707526654005,-0.0002481579780578613
object,lpips,suffix,9,50,0.0032676372991409155,0.001492509851232171,0.004591799923218787,-0.000498344898223877
object,lpips,suffix,10,50,0.0,0.0,0.0,0.0
object,clipscore,prefix,0,50,0.8653113341331482,0.8264819979667664,0.9133374392986298,0.0
