semantic,selection,masked_scale_count,original_direction,original_boundary,n,mean,q25,q75
object,earliest,0,prefix,0,50,0.0,0.0,0.0
object,earliest,1,prefix,1,50,0.12376871925778687,0.0424780547618866,0.20587100461125374
object,earliest,2,prefix,2,50,0.1472109402762726,0.06257107760757208,0.21000881865620613
object,earliest,3,prefix,3,50,0.15057133102789522,0.058925965800881386,0.21782109513878822
object,earliest,4,prefix,4,50,0.13042973831295968,0.051796263083815575,0.20643168315291405
object,earliest,5,prefix,5,50,0.13233669873792678,0.04562427755445242,0.18861720338463783
object,earliest,6,prefix,6,50,0.14140080146491527,0.07464686594903469,0.19855867698788643
object,earliest,7,prefix,7,50,0.1377925472514471,0.06527150981128216,0.1998857632279396
object,earliest,8,prefix,8,50,0.13728442634339444,0.05582941044121981,0.19843925908207893
object,earliest,9,prefix,9,50,0.1379459822154604,0.05698980391025543,0.19814346358180046
object,earliest,10,prefix,10,50,0.1378442035894841,0.0575814638286829,0.19881631806492805
object,latest,0,suffix,10,50,0.0,0.0,0.0
object,latest,1,suffix,9,50,0.0032676372991409155,0.001492509851232171,0.004591799923218787
object,latest,2,suffix,8,50,0.022482993872836234,0.013263383181765676,0.02960707526654005
object,latest,3,suffix,7,50,0.04726281481795013,0.020380154717713594,0.06819582916796207
object,latest,4,suffix,6,50,0.07961258308496326,0.04533707816153765,0.11530542559921741
object,latest,5,suffix,5,50,0.09557385822758079,0.04413739591836929,0.14256881922483444
object,latest,6,suffix,4,50,0.11889073201455176,0.05651606898754835,0.16324354708194733
object,latest,7,suffix,3,50,0.11729544898029416,0.061313968151807785,0.16689004376530647
object,latest,8,suffix,2,50,0.14076052104705014,0.07544549368321896,0.2084484100341797
object,latest,9,suffix,1,50,0.1514617813937366,0.059565573930740356,0.20840270444750786
object,latest,10,suffix,0,50,0.1378442035894841,0.0575814638286829,0.19881631806492805
color,earliest,0,prefix,0,50,0.0,0.0,0.0
color,earliest,1,prefix,1,50,0.11872061111964285,0.05309213325381279,0.16843274980783463
color,earliest,2,prefix,2,50,0.11555591369979083,0.05473880376666784,0.16020866483449936
color,earliest,3,prefix,3,50,0.13247883634641766,0.06041279714554548,0.1708259880542755
color,earliest,4,prefix,4,50,0.13930167780257763,0.0522375488653779,0.19568653404712677
color,earliest,5,prefix,5,50,0.13892551995813845,0.051786147989332676,0.19512996450066566
color,earliest,6,prefix,6,50,0.1426420515216887,0.06063094362616539,0.18599830567836761
color,earliest,7,prefix,7,50,0.14347919588442892,0.08098015561699867,0.1855221912264824
color,earliest,8,prefix,8,50,0.14478957458399236,0.07424081303179264,0.18798549845814705
color,earliest,9,prefix,9,50,0.14409594305092469,0.07418705523014069,0.18978719785809517
color,earliest,10,prefix,10,50,0.14396725840168073,0.07456216961145401,0.18977589532732964
color,latest,0,suffix,10,50,0.0,0.0,0.0
color,latest,1,suffix,9,50,0.003308814549818635,0.0017290192190557718,0.004992572357878089
color,latest,2,suffix,8,50,0.019337250236421823,0.009302763035520911,0.029685277491807938
color,latest,3,suffix,7,50,0.04402926258277148,0.0200178362429142,0.06178364343941212
color,latest,4,suffix,6,50,0.08513059753924608,0.05959733482450247,0.11575979925692081
color,latest,5,suffix,5,50,0.10698650981299579,0.058322690427303314,0.14240075647830963
color,latest,6,suffix,4,50,0.10426683761179448,0.05574633460491896,0.14111345633864403
color,latest,7,suffix,3,50,0.12899326792918145,0.05883442983031273,0.17180921882390976
color,latest,8,suffix,2,50,0.12963383058202452,0.06030171737074852,0.17035990953445435
color,latest,9,suffix,1,50,0.1351928216032684,0.07636966183781624,0.17795949429273605
color,latest,10,suffix,0,50,0.14396725840168073,0.07456216961145401,0.18977589532732964
shape,earliest,0,prefix,0,50,0.0,0.0,0.0
shape,earliest,1,prefix,1,50,0.11783086005132645,0.048315505497157574,0.15576007962226868
shape,earliest,2,prefix,2,50,0.15751036222092807,0.05421147495508194,0.23458926007151604
shape,earliest,3,prefix,3,50,0.14432489268714563,0.04545379616320133,0.22384091094136238
shape,earliest,4,prefix,4,50,0.13767996951006353,0.04055267293006182,0.20184965431690216
shape,earliest,5,prefix,5,50,0.13815527310594916,0.05618173535913229,0.19320808351039886
shape,earliest,6,prefix,6,50,0.13881852535530925,0.05309561546891928,0.189749114215374
shape,earliest,7,prefix,7,50,0.13785751383751632,0.05176743306219578,0.17822615429759026
shape,earliest,8,prefix,8,50,0.1401633819192648,0.060700202360749245,0.18155863881111145
shape,earliest,9,prefix,9,50,0.14016731867566704,0.06120563670992851,0.17945102229714394
shape,earliest,10,prefix,10,50,0.14026824422180653,0.06255203392356634,0.17919209972023964
shape,latest,0,suffix,10,50,0.0,0.0,0.0
shape,latest,1,suffix,9,50,0.0027702084684278817,0.0011289142130408436,0.0036576590500772
shape,latest,2,suffix,8,50,0.02234607848804444,0.013616817072033882,0.02845623902976513
shape,latest,3,suffix,7,50,0.0465272594243288,0.024706780910491943,0.06853667832911015
shape,latest,4,suffix,6,50,0.07652475057635456,0.04296757932752371,0.1104075014591217
shape,latest,5,suffix,5,50,0.1033851835783571,0.06169785372912884,0.13427187502384186
shape,latest,6,suffix,4,50,0.10147397568216547,0.050251951441168785,0.13645383715629578
