semantic,direction,boundary,n,mean,median,q25,q75,min,max,up,down,unchanged
object,prefix,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
object,prefix,1,50,0.006255276203155517,0.004176706075668335,-0.006328567862510681,0.019422903656959534,-0.08362263441085815,0.06283003091812134,34,16,0
object,prefix,2,50,0.0058340322971344,0.00026476383209228516,-0.011180803179740906,0.01944756507873535,-0.051878154277801514,0.10238075256347656,25,25,0
object,prefix,3,50,0.0031257009506225585,0.005881547927856445,-0.012812331318855286,0.017629608511924744,-0.08392155170440674,0.13408857583999634,26,24,0
object,prefix,4,50,0.004202418327331543,0.005843788385391235,-0.011530667543411255,0.016033068299293518,-0.05840510129928589,0.09484368562698364,28,22,0
object,prefix,5,50,0.005042928457260132,0.0034578442573547363,-0.010482579469680786,0.018091335892677307,-0.0702257752418518,0.09602349996566772,28,22,0
object,prefix,6,50,0.011563981771469117,0.007564067840576172,-0.006307095289230347,0.032484278082847595,-0.06627857685089111,0.09083390235900879,32,18,0
object,prefix,7,50,0.008265517950057984,0.00952613353729248,-0.004372596740722656,0.026452720165252686,-0.11072832345962524,0.0972105860710144,33,16,1
object,prefix,8,50,0.0074573540687561035,0.005964756011962891,-0.012416094541549683,0.019670218229293823,-0.07862651348114014,0.0972105860710144,33,17,0
object,prefix,9,50,0.008637529611587525,0.00742793083190918,-0.006421193480491638,0.02322430908679962,-0.055930912494659424,0.10661089420318604,30,20,0
object,prefix,10,50,0.005596307516098023,0.0010234713554382324,-0.006261557340621948,0.019617781043052673,-0.055626094341278076,0.08351725339889526,28,22,0
object,suffix,0,50,0.005596307516098023,0.0010234713554382324,-0.006261557340621948,0.019617781043052673,-0.055626094341278076,0.08351725339889526,28,22,0
object,suffix,1,50,0.0036959362030029295,0.006509184837341309,-0.006696537137031555,0.020748138427734375,-0.07769948244094849,0.050215303897857666,33,17,0
object,suffix,2,50,-0.0008034348487854004,0.0027988851070404053,-0.012496903538703918,0.00941292941570282,-0.05046188831329346,0.05801039934158325,28,22,0
object,suffix,3,50,-0.0008334517478942871,-0.001567065715789795,-0.0173255056142807,0.015137791633605957,-0.09091788530349731,0.05219382047653198,24,26,0
object,suffix,4,50,0.005044628381729126,0.002035677433013916,-0.00807863473892212,0.015724092721939087,-0.043758273124694824,0.04961138963699341,28,22,0
object,suffix,5,50,-0.0006541383266448975,0.004179179668426514,-0.014797300100326538,0.010392367839813232,-0.05298030376434326,0.04234570264816284,30,20,0
object,suffix,6,50,5.148887634277344e-05,0.0015282034873962402,-0.01439802348613739,0.01710754632949829,-0.08361196517944336,0.05547970533370972,26,24,0
object,suffix,7,50,-0.0003389763832092285,-0.0005875229835510254,-0.008532151579856873,0.011267527937889099,-0.07115501165390015,0.04061490297317505,22,26,2
object,suffix,8,50,0.0002481579780578613,-0.0005607306957244873,-0.006862819194793701,0.007283911108970642,-0.0244443416595459,0.05262070894241333,23,26,1
object,suffix,9,50,0.000498344898223877,-0.00013715028762817383,-0.0029818564653396606,0.0049714595079422,-0.014250695705413818,0.015903830528259277,23,25,2
object,suffix,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
color,prefix,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
color,prefix,1,50,0.005437895059585572,0.0016093850135803223,-0.005581080913543701,0.013845756649971008,-0.04417765140533447,0.12653422355651855,29,20,1
color,prefix,2,50,0.003648463487625122,0.000451892614364624,-0.00881388783454895,0.014924556016921997,-0.08567076921463013,0.10628712177276611,26,24,0
color,prefix,3,50,0.005859601497650147,0.006148487329483032,-0.010682731866836548,0.020909085869789124,-0.05130207538604736,0.12552404403686523,30,20,0
color,prefix,4,50,0.001747763156890869,0.0030537843704223633,-0.014907076954841614,0.01565857231616974,-0.0718461275100708,0.08274292945861816,28,22,0
color,prefix,5,50,0.0005915844440460205,0.0007192492485046387,-0.011834710836410522,0.014526665210723877,-0.07489192485809326,0.11628425121307373,27,23,0
color,prefix,6,50,-0.00022423624992370605,-0.0018157660961151123,-0.016346067190170288,0.013345062732696533,-0.06538182497024536,0.14648139476776123,22,28,0
color,prefix,7,50,0.0038816297054290773,0.008041203022003174,-0.013476952910423279,0.019020110368728638,-0.06780058145523071,0.1235969066619873,29,21,0
color,prefix,8,50,0.0020026755332946777,0.004049241542816162,-0.01961781084537506,0.023053765296936035,-0.06363356113433838,0.08806955814361572,29,21,0
color,prefix,9,50,0.003148620128631592,0.002491682767868042,-0.01615414023399353,0.023497983813285828,-0.07372784614562988,0.08309018611907959,29,21,0
color,prefix,10,50,0.0032182240486145017,0.003363996744155884,-0.014846637845039368,0.025602728128433228,-0.07777184247970581,0.08934694528579712,27,23,0
color,suffix,0,50,0.0032182240486145017,0.003363996744155884,-0.014846637845039368,0.025602728128433228,-0.07777184247970581,0.08934694528579712,27,23,0
color,suffix,1,50,0.002457857131958008,0.0004926621913909912,-0.01823998987674713,0.022346705198287964,-0.057920634746551514,0.0990908145904541,25,25,0
color,suffix,2,50,0.0003428316116333008,-0.002326071262359619,-0.013739243149757385,0.01567058265209198,-0.06221562623977661,0.0447843074798584,24,26,0
color,suffix,3,50,0.0040001988410949705,0.0012741684913635254,-0.010752305388450623,0.013837218284606934,-0.0655469298362732,0.06417381763458252,27,23,0
color,suffix,4,50,0.0011584424972534179,0.0016588568687438965,-0.014080062508583069,0.012407094240188599,-0.048574090003967285,0.07224833965301514,27,23,0
color,suffix,5,50,0.002248262166976929,0.0008165538311004639,-0.013682693243026733,0.015234246850013733,-0.04188692569732666,0.058277249336242676,27,23,0
color,suffix,6,50,0.005529597997665405,0.0029274821281433105,-0.008447244763374329,0.01869601011276245,-0.05237603187561035,0.13035833835601807,27,23,0
color,suffix,7,50,0.0036401438713073732,0.0037682950496673584,-0.00984811782836914,0.013751879334449768,-0.02619612216949463,0.06388449668884277,27,22,1
color,suffix,8,50,-0.0013595247268676758,-0.0019246339797973633,-0.010949388146400452,0.006654426455497742,-0.034951090812683105,0.031464219093322754,23,27,0
color,suffix,9,50,-6.270289421081543e-05,0.0,-0.002974271774291992,0.0026523321866989136,-0.018286168575286865,0.019439637660980225,24,24,2
color,suffix,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
